348,07/16,7/16/2020 8:25:53 PM, ,1,0.3380706,,7/16/2020 8:25:53 PM
348,07/16,7/16/2020 8:25:56 PM, ,2,0.6629819,,7/16/2020 8:25:56 PM
348,07/16,7/16/2020 8:26:00 PM, ,3,0.6396527,,7/16/2020 8:26:00 PM
348,07/16,7/16/2020 8:26:10 PM, ,6,0.7168227,,7/16/2020 8:26:10 PM
348,07/16,7/16/2020 8:26:13 PM, ,7,1.12935,,7/16/2020 8:26:13 PM
348,07/16,7/16/2020 8:26:16 PM, ,8,0.8421797,,7/16/2020 8:26:16 PM
348,07/16,7/16/2020 8:26:19 PM, ,9,1.15672,,7/16/2020 8:26:19 PM
348,07/16,7/16/2020 8:26:22 PM, ,10,1.84369,,7/16/2020 8:26:22 PM
349,07/16,7/16/2020 8:30:19 PM, ,1,0.8809817,,7/16/2020 8:30:19 PM
349,07/16,7/16/2020 8:30:22 PM, ,2,1.333917,,7/16/2020 8:30:22 PM
349,07/16,7/16/2020 8:30:25 PM, ,3,1.16695,,7/16/2020 8:30:25 PM
349,07/16,7/16/2020 8:30:28 PM, ,4,0.2543367,,7/16/2020 8:30:28 PM
349,07/16,7/16/2020 8:30:33 PM, ,6,1.197417,,7/16/2020 8:30:33 PM
349,07/16,7/16/2020 8:30:35 PM, ,7,0.9321363,,7/16/2020 8:30:35 PM
349,07/16,7/16/2020 8:30:40 PM, ,9,0.5753729,,7/16/2020 8:30:40 PM
349,07/16,7/16/2020 8:30:43 PM, ,10,0.4865291,,7/16/2020 8:30:43 PM
